Entidad_federativa,Municipio,Tipo_de_Fuente,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3,Entidad
Nuevo León,Pesquería,Fuentes fijas,42.636,5335.832,8545.763,3027.234,2287.115,2237.053,83.453,Nuevo León
Nuevo León,Pesquería,Fuentes de área,0.4129999999999999,80.699,14.716,3592.494,173.915,45.975,2033.531,Nuevo León
Nuevo León,Pesquería,Fuentes móviles carreteros,0.554,703.062,327.375,75.438,11.263,10.322,1.555,Nuevo León
Nuevo León,Pesquería,Fuentes móviles que no circulan por carretera,1.173,12.166,97.494,4.067,2.835,2.597,0.004,Nuevo León
Nuevo León,Pesquería,Fuentes naturales,,,557.688,2396.794,,,,Nuevo León
Nuevo León,Los Ramones,Fuentes de área,0.202,37.606,1.879,39.158,144.295,28.905,122.211,Nuevo León
Nuevo León,Los Ramones,Fuentes móviles carreteros,0.12,195.915,56.487,19.51,1.376,1.255,0.341,Nuevo León
Nuevo León,Los Ramones,Fuentes móviles que no circulan por carretera,1.496,15.453,121.018,5.111,3.576,3.282,0.005,Nuevo León
Nuevo León,Los Ramones,Fuentes naturales,,,428.579,1894.675,,,,Nuevo León
Nuevo León,Rayones,Fuentes de área,0.507,102.419,3.338,55.383,34.828,14.994,107.645,Nuevo León
Nuevo León,Rayones,Fuentes móviles carreteros,0.023,40.013,8.839,3.82,0.1409999999999999,0.127,0.065,Nuevo León
Nuevo León,Rayones,Fuentes móviles que no circulan por carretera,0.065,0.5979999999999999,1.857,0.1429999999999999,0.113,0.11,0.001,Nuevo León
Nuevo León,Rayones,Fuentes naturales,,,75.16899999999998,273.572,,,,Nuevo León
Nuevo León,Sabinas Hidalgo,Fuentes fijas,305.122,2.763,28.585,6.508,23.155,17.01,0.4159999999999999,Nuevo León
Nuevo León,Sabinas Hidalgo,Fuentes de área,0.122,25.322,8.051,518.31,59.366,13.906,112.598,Nuevo León
Nuevo León,Sabinas Hidalgo,Fuentes móviles carreteros,1.057,1486.772,545.287,156.913,16.205,14.823,3.029,Nuevo León
Nuevo León,Sabinas Hidalgo,Fuentes móviles que no circulan por carretera,0.153,1.41,4.381,0.338,0.268,0.26,0.001,Nuevo León
Nuevo León,Sabinas Hidalgo,Fuentes naturales,,,160.747,560.72,,,,Nuevo León
Nuevo León,Salinas Victoria,Fuentes fijas,41.634,402.329,2423.004,129.288,21.775,18.699,0.677,Nuevo León
Nuevo León,Salinas Victoria,Fuentes de área,0.8449999999999999,152.922,12.502,1510.426,123.449,35.416,1647.952,Nuevo León
Nuevo León,Salinas Victoria,Fuentes móviles carreteros,0.662,925.292,326.881,95.066,9.464,8.654,1.868,Nuevo León
Nuevo León,Salinas Victoria,Fuentes móviles que no circulan por carretera,1.54,16.396,147.541,5.793,3.963,3.596,0.003,Nuevo León
Nuevo León,Salinas Victoria,Fuentes naturales,,,82.664,222.801,,,,Nuevo León
